adm1_name,lat,lon,market_locations
ACEH,5.175,96.13499999999999,6
BALI,-8.385,115.15,4
BANTEN,-6.11,106.16,6
BENGKULU,-3.8049999999999997,102.285,4
DAERAH ISTIMEWA YOGYAKARTA,-7.79,110.37,2
DKI JAKARTA,-6.27,106.86,3
GORONTALO,0.56,123.06,4
JAMBI,-1.54,102.86500000000001,4
JAWA BARAT,-6.74,107.63,18
JAWA TENGAH,-7.54,110.72,24
JAWA TIMUR,-7.880000000000001,112.75,20
KALIMANTAN BARAT,0.035,109.33500000000001,8
KALIMANTAN SELATAN,-3.2750000000000004,114.995,4
KALIMANTAN TENGAH,-2.53,112.97,5
KALIMANTAN TIMUR,-0.49,117.15,6
KALIMANTAN UTARA,3.075,117.475,4
KEPULAUAN BANGKA BELITUNG,-2.435,106.88,4
KEPULAUAN RIAU,1.05,104.01,5
LAMPUNG,-5.27,105.28999999999999,4
MALUKU,-4.66,130.465,4
MALUKU UTARA,0.78,127.38499999999999,2
NUSA TENGGARA BARAT,-8.57,116.53,5
NUSA TENGGARA TIMUR,-9.655000000000001,122.21000000000001,6
PAPUA,-3.725,139.67000000000002,12
PAPUA BARAT,-0.87,132.67000000000002,4
RIAU,0.505,101.45,8
SULAWESI BARAT,-3.045,118.93,4
SULAWESI SELATAN,-4.55,120.195,10
SULAWESI TENGAH,-0.91,119.88,3
SULAWESI TENGGARA,-4.715,122.555,4
SULAWESI UTARA,0.74,124.32,5
SUMATERA BARAT,-0.605,100.37,4
SUMATERA SELATAN,-2.98,104.76,3
SUMATERA UTARA,2.96,98.71,13
